lineage,gene,n_cells,median_expr,mean_expr,frac_expressing
CD8,FOXP3,34827,0.0,0.01811745949089527,0.010308094294656445
CD8,IL2RA,34827,0.0,0.013057940639555454,0.010623941195049818
CD8,CTLA4,34827,0.0,0.14509782195091248,0.11224050305797226
CD8,IKZF2,34827,0.0,0.16518741846084595,0.12886553536049616
CD8,CD8A,34827,2.403367757797241,2.2266082763671875,0.9274126396186867
CD8,IL7R,34827,1.0809301137924194,1.3026270866394043,0.5320010336807649
Tcon,FOXP3,37913,0.0,0.059456199407577515,0.038482842296837495
Tcon,IL2RA,37913,0.0,0.0726834386587143,0.0674175085063171
Tcon,CTLA4,37913,0.0,0.2205827534198761,0.1751905678790916
Tcon,IKZF2,37913,0.0,0.044543907046318054,0.035607838999815365
Tcon,CD8A,37913,0.0,0.0038287960924208164,0.0025321129955424263
Tcon,IL7R,37913,2.6270039081573486,2.3527092933654785,0.8771925197161924
Treg,FOXP3,27175,1.8397144079208374,1.6926761865615845,0.7974241030358785
Treg,IL2RA,27175,1.1391284465789795,1.1455061435699463,0.6684084636614536
Treg,CTLA4,27175,1.0887112617492676,1.014891505241394,0.6519595216191353
Treg,IKZF2,27175,0.6802033185958862,0.6753842830657959,0.5272125114995401
Treg,CD8A,27175,0.0,0.001971055520698428,0.001655933762649494
Treg,IL7R,27175,0.0,0.6629660129547119,0.4269733210671573
